total apps: 6,,,,,,,,,,
Total number of requests: 87,,,,,,,,,,
Total number of GET requests: 76,,,,,,,,,,
Percentage of GET requests: 87.35632183908046%,,,,,,,,,,
Average number of requests per app: 14.5,,,,,,,,,,
Average number of GET requests per app: 12.666666666666666,,,,,,,,,,
Average number of expire requests: 25,,,,,,,,,,
Percentage of expire requests: 28.735632183908045%,,,,,,,,,,
Average number of expire requests per app: 4.166666666666667,,,,,,,,,,
Average data length per request: 8635.157894736842,,,,,,,,,,
Exceptions: 0,,,,,,,,,,
,,,,,,,,,,
prefix,id,body,stmt,urlString,isDoOutput,length,cacheControl,expires,age,setCookie,,,
"I/System.out( 3961): URLConn","0","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.4/313568645378487?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out( 3961): URLConn","1","<io.branch.referral.y: io.branch.referral.as a(org.json.JSONObject,java.lang.String,java.lang.String,int,int,boolean,io.branch.referral.o)>","$r23 = virtualinvoke $r17.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.branch.io/v1/install","true","286","Not found","Not found","Not found","Not found"
"I/System.out( 3961): URLConn","2","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.4/313568645378487/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out( 3961): URLConn","3","<com.onesignal.aq: void b(java.lang.String,java.lang.String,org.json.JSONObject,com.onesignal.aq$a)>","$r13 = virtualinvoke $r10.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://onesignal.com/api/v1/apps/bba1c90c-3f17-4102-9579-1369f82e66ad/android_params.js","false","Not found","public, max-age=7200","Sat, 14 Apr 2018 07:07:06 GMT","Not found","__cfduid=d84ff37ae39127035275b983c670834961523682425; expires=Sun, 14-Apr-19 05:07:05 GMT; path=/; domain=.onesignal.com; HttpOnly"
"I/System.out( 3961): URLConn","4","<io.a.a.a.a.e.d: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://settings.crashlytics.com/spi/v2/platforms/android/apps/com.amitech.allevents/settings?instance=896cc90c9bf43aefa005f81011e6feff59654158&source=1&build_version=60&icon_hash=77ebd77985a7e44de903d146bdb05a8463f4e57f&display_version=6.7","false","Not found","Not found","Not found","Not found","Not found"
"I/System.out( 3961): URLConn","5","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.4/313568645378487/activities?access_token=&format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out( 3961): URLConn","6","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/personalized.php","true","Not found","no-store, no-cache, must-revalidate, post-check=0, pre-check=0","Thu, 19 Nov 1981 08:52:00 GMT","Not found","PHPSESSID=vb9sjan498hae2q9bgismh78s3; expires=Sat, 21-Apr-2018 05:07:39 GMT; path=/"
"I/System.out( 3961): URLConn","7","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/index.php/misc/static/get_value/mbl.android.version","false","Not found","Not found","Not found","Not found","__cfduid=d3451e95bd7d66135e4bfb8fd1ab942af1523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
"I/System.out( 3961): URLConn","8","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/index.php/events/q","true","Not found","max-age=300","Not found","Not found","__cfduid=df20bf92cf910ff7744c9a6f0a87816431523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
"I/System.out( 3961): URLConn","9","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/index.php/events/q","true","Not found","max-age=300","Not found","Not found","__cfduid=d20b1483d30e57d16dffd2e25dcab0b681523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
"I/System.out( 3961): URLConn","10","<com.c.a.b.d.a: java.io.InputStream b(java.lang.String,java.lang.Object)>","$r4 = virtualinvoke $r3.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://cdn2.allevents.in/thumbs/thumb5a73515fcc220.jpg","false","75239","public, max-age=31536000","Sun, 14 Apr 2019 05:07:39 GMT","Not found","__cfduid=de8cd143cf0b9c1c1f25cfe1a916c781e1523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
"I/System.out( 3961): URLConn","11","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/personalized.php","true","Not found","no-store, no-cache, must-revalidate, post-check=0, pre-check=0","Thu, 19 Nov 1981 08:52:00 GMT","Not found","PHPSESSID=m0fcv6fl33jf2g0e427q72m0e3; expires=Sat, 21-Apr-2018 05:07:39 GMT; path=/"
"I/System.out( 3961): URLConn","12","<com.c.a.b.d.a: java.io.InputStream b(java.lang.String,java.lang.Object)>","$r4 = virtualinvoke $r3.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://cdn2.allevents.in/thumbs/thumb5a62ac1c6b88f.jpg","false","67280","public, max-age=31536000","Sun, 14 Apr 2019 05:07:40 GMT","Not found","__cfduid=da55bbb618651219288690314e0ff81c51523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
"I/System.out( 3961): URLConn","13","<com.android.volley.toolbox.i: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://allevents.in/api/index.php/events/q","true","Not found","max-age=300","Not found","Not found","__cfduid=d3451e95bd7d66135e4bfb8fd1ab942af1523682459; expires=Sun, 14-Apr-19 05:07:39 GMT; path=/; domain=.allevents.in; HttpOnly"
