sep=;
#reqs before duplication removal: 82
#reqs after duplication removal: 16
Sending all requests: 2018-04-14 09:46:57
Sleeping for 10 seconds
Sending round 2 of requests at 2018-04-14 09:47:07
Sleeping for 20 seconds
Sending round 3 of requests at 2018-04-14 09:47:27
Sleeping for 30 seconds
Sending round 4 of requests at 2018-04-14 09:47:57
url;changed after 10s;changed after 30s;changed after 60s;response time;expires;cacheControl;expires reliable;cacheControl reliable
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9436409036830/main_menu_icon_newsletter_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;126880;None;['max-age=31536000'];N/A;True
http://api.hm.com/cn/en/property/ANDROID;False;False;False;252390;None;['max-age=60', ' post-check=60'];N/A;False
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9436408741918/main_menu_icon_my_hm_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;12791;None;['max-age=31536000'];N/A;True
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9436409921566/main_menu_icon_store_locator_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;12243;None;['max-age=31536000'];N/A;True
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9436408938526/main_menu_icon_wishlist_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;10446;None;['max-age=31536000'];N/A;True
http://api.hm.com/za/en/property;False;False;False;83916;None;['max-age=60', ' post-check=60'];N/A;False
https://cdn.optimizely.com/json/android/1.7/5139410449.json;False;False;False;205765;None;['max-age=120'];N/A;False
http://api.hm.com/v2/cn/en/products/tracking/info;False;False;False;223475;Thu, 01 Jan 1970 00:00:00 GMT;['no-store', ' no-cache', ' must-revalidate', ' proxy-revalidate', ' post-check=0', ' pre-check=0'];False;N/A
http://api.hm.com/cn/en/shoppingbag/shoppingBagCount?;True;True;True;245593;Thu, 01 Jan 1970 00:00:00 GMT;['no-store', ' no-cache', ' must-revalidate', ' proxy-revalidate', ' post-check=0', ' pre-check=0'];False;N/A
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9436408840222/main_menu_icon_services_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;10187;None;['max-age=31536000'];N/A;True
https://android.hm.com/josh/static/mobile/img/forceupdate/hm_forceupdate_android.png;False;False;False;186193;Fri, 20 Apr 2018 09:59:47 GMT;['max-age=519169'];True;True
https://api.hm.com/gb/en/authenticate/isloggedin;False;False;False;265223;Thu, 01 Jan 1970 00:00:00 GMT;['no-store', ' no-cache', ' must-revalidate', ' proxy-revalidate', ' post-check=0', ' pre-check=0'];False;N/A
http://lp.hm.com/hmprod?set=source[/josh/media/sys_master/9437501194270/main_menu_icon_inspiration_normal.png],&set=key[size],value[100x100]&call=url[file:/mobile/v1/generic];False;False;False;9741;None;['max-age=31536000'];N/A;True
https://api.hm.com/cms/cn/en/config/v1;False;False;False;265183;None;['must-revalidate', ' max-age=60', ' post-check=60'];N/A;True
http://api.hm.com/v2/cn/en/navigation/area?deviceType=ANDROID;False;False;False;11212;None;['max-age=60', ' post-check=60'];N/A;False
http://api.hm.com/choosecountry;False;False;False;10519;None;['max-age=60', ' post-check=60'];N/A;False
Finished all processing all requests at 2018-04-14 09:47:58
total num urls: 16
% expire urls: 25.0
% reliable expire urls: 25.0
% cachecontrol urls: 81.25
% reliable cachecontrol urls: 61.53846153846154
