total apps: 11,,,,,,,,,,
Total number of requests: 122,,,,,,,,,,
Total number of GET requests: 61,,,,,,,,,,
Percentage of GET requests: 50.0%,,,,,,,,,,
Average number of requests per app: 11.090909090909092,,,,,,,,,,
Average number of GET requests per app: 5.545454545454546,,,,,,,,,,
Average number of expire requests: 6,,,,,,,,,,
Percentage of expire requests: 4.918032786885246%,,,,,,,,,,
Average number of expire requests per app: 0.5454545454545454,,,,,,,,,,
Average data length per request: 111539.59615384616,,,,,,,,,,
Exceptions: 0,,,,,,,,,,
,,,,,,,,,,
prefix,id,body,stmt,urlString,isDoOutput,length,cacheControl,expires,age,setCookie,,,
"I/System.out(15118): URLConn","0","<com.a.a.b.d: org.apache.http.HttpEntity a(java.net.HttpURLConnection)>","$r1 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://services.cvshealth.com/appInfo/mobileAppInfo?serviceName=MobileAppInfo&appName=Caremark_ANDROID_Phone&version=12.0&apiSecret=a8df2d6e-b11c-4b73-8bd3-71afc2515dae&apiKey=a2ff75c6-2da7-4299-929d-d670d827ab4a","false","Not found","no-cache, max-age=0","Not found","Not found","Not found"
"I/System.out(15118): URLConn","1","<com.localytics.android.BaseUploadThread: boolean upload(com.localytics.android.BaseUploadThread$UploadType,java.lang.String,java.lang.String,int,boolean)>","$r35 = virtualinvoke $r18.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://analytics.localytics.com/api/v2/uploads","true","0","no-cache, no-store, max-age=0","Not found","Not found","Not found"
"I/System.out(15118): URLConn","2","<com.localytics.android.BaseUploadThread: boolean upload(com.localytics.android.BaseUploadThread$UploadType,java.lang.String,java.lang.String,int,boolean)>","$r35 = virtualinvoke $r18.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://analytics.localytics.com/api/v2/applications/31f3b1fc4d4f7c1f5d22549-1102d070-9ffc-11e3-4182-00a426b17dd8/amp","false","0","no-cache, no-store, max-age=0","Not found","Not found","Not found"
"I/System.out(15118): URLConn","3","<com.localytics.android.BaseUploadThread: boolean upload(com.localytics.android.BaseUploadThread$UploadType,java.lang.String,java.lang.String,int,boolean)>","$r35 = virtualinvoke $r18.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://analytics.localytics.com/api/v2/uploads","true","0","no-cache, no-store, max-age=0","Not found","Not found","Not found"
"I/System.out(15118): URLConn","4","<com.caremark.caremark.synclib.helper.DownloadService: boolean downloadAndSave(java.lang.String,java.lang.String)>","$r11 = virtualinvoke $r9.<javax.net.ssl.HttpsURLConnection: java.io.InputStream getInputStream()>()","https://sit1fast.caremark.com/mcontainer/Pharmacy/v11/forgotPassword.zip","false","1040969","Not found","Not found","Not found","Not found"
"I/System.out(15118): URLConn","5","<com.caremark.caremark.synclib.helper.DownloadService: boolean downloadAndSave(java.lang.String,java.lang.String)>","$r11 = virtualinvoke $r9.<javax.net.ssl.HttpsURLConnection: java.io.InputStream getInputStream()>()","https://sit1fast.caremark.com/mcontainer/Pharmacy/v11/forgotUserName.zip","false","972790","Not found","Not found","Not found","Not found"
"I/System.out(15118): URLConn","6","<com.caremark.caremark.synclib.helper.DownloadService: boolean downloadAndSave(java.lang.String,java.lang.String)>","$r11 = virtualinvoke $r9.<javax.net.ssl.HttpsURLConnection: java.io.InputStream getInputStream()>()","https://sit2fast.caremark.com/mcontainer/Pharmacy/v15/easyrefill.zip","false","3781872","Not found","Not found","Not found","akavpau_fast_caremark_com_general=1523493894~id=578d6d6f33aba409c07f4844fabd4051; Path=/"
"I/System.out(15118): URLConn","7","<com.localytics.android.BaseUploadThread: boolean upload(com.localytics.android.BaseUploadThread$UploadType,java.lang.String,java.lang.String,int,boolean)>","$r35 = virtualinvoke $r18.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://analytics.localytics.com/api/v2/uploads","true","0","no-cache, no-store, max-age=0","Not found","Not found","Not found"
"I/System.out(15342): URLConn","0","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://decide.mixpanel.com/decide?version=1&lib=android&token=e46a84a0fb0a674e05f6f1cb59103e04&distinct_id=5c276c69-7f9f-47b3-a465-a53e9f4b6058&properties=%7B%22%24android_device_model%22%3A%22SM-G955N%22%2C%22%24android_version%22%3A%224.4.2%22%2C%22%24android_app_release%22%3A613%2C%22%24android_lib_version%22%3A%224.9.3%22%2C%22%24android_app_version%22%3A%223.12%22%7D","false","Not found","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","1","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.mixpanel.com/track?ip=1","true","1","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","2","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://decide.mixpanel.com/decide?version=1&lib=android&token=e46a84a0fb0a674e05f6f1cb59103e04&distinct_id=5c276c69-7f9f-47b3-a465-a53e9f4b6058&properties=%7B%22%24android_device_model%22%3A%22SM-G955N%22%2C%22%24android_version%22%3A%224.4.2%22%2C%22%24android_app_release%22%3A613%2C%22%24android_lib_version%22%3A%224.9.3%22%2C%22%24android_app_version%22%3A%223.12%22%7D","false","Not found","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","3","<io.fabric.sdk.android.services.network.HttpRequest: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://settings.crashlytics.com/spi/v2/platforms/android/apps/com.doctorondemand.android.patient/settings?instance=03036ef0a8816175c734e66f58b26fff8f67226b&source=1&build_version=613&icon_hash=ffb5f1a137e244a700080e16c87e46e72e001372&display_version=3.12","false","Not found","Not found","Not found","Not found","Not found"
"I/System.out(15342): URLConn","4","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.mixpanel.com/track?ip=1","true","1","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","5","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.mixpanel.com/engage","true","1","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","6","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://decide.mixpanel.com/decide?version=1&lib=android&token=e46a84a0fb0a674e05f6f1cb59103e04&distinct_id=5c276c69-7f9f-47b3-a465-a53e9f4b6058&properties=%7B%22%24android_device_model%22%3A%22SM-G955N%22%2C%22%24android_version%22%3A%224.4.2%22%2C%22%24android_app_release%22%3A613%2C%22%24android_lib_version%22%3A%224.9.3%22%2C%22%24android_app_version%22%3A%223.12%22%7D","false","Not found","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","7","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.mixpanel.com/track?ip=1","true","1","no-cache, no-store","Not found","Not found","Not found"
"I/System.out(15342): URLConn","8","<com.mixpanel.android.util.c: byte[] a(java.lang.String,java.util.Map,javax.net.ssl.SSLSocketFactory)>","$r26 = virtualinvoke $r14.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.mixpanel.com/engage","true","1","no-cache, no-store","Not found","Not found","Not found"
