sep=;
#reqs before duplication removal: 64
#reqs after duplication removal: 10
Sending all requests: 2018-04-14 10:01:26
Sleeping for 10 seconds
Sending round 2 of requests at 2018-04-14 10:01:36
Sleeping for 20 seconds
Sending round 3 of requests at 2018-04-14 10:01:56
Sleeping for 30 seconds
Sending round 4 of requests at 2018-04-14 10:02:26
url;changed after 10s;changed after 30s;changed after 60s;response time;expires;cacheControl;expires reliable;cacheControl reliable
http://www.google.com/search?q=;True;True;True;64521;-1;['private', ' max-age=0'];Unknown Format;True
https://twitter.com/i/js_inst?c_name=ui_metrics;True;True;True;201358;Tue, 31 Mar 1981 05:00:00 GMT;['no-cache', ' no-store', ' must-revalidate', ' pre-check=0', ' post-check=0'];False;N/A
http://www.google.com/webhp;True;True;True;282344;-1;['private', ' max-age=0'];Unknown Format;True
http://2kit.de/cast-android/faq.html#6;False;False;False;268641;None;['max-age=43200'];N/A;True
https://vimeo.com/;True;True;True;190401;Fri, 13 Apr 2018 22:01:26 GMT;['no-store', ' no-cache', ' must-revalidate', ' post-check=0', ' pre-check=0'];False;N/A
http://2kit.de/cast-android/index.html;False;False;False;94624;None;['max-age=43200'];N/A;True
https://twitter.com/account/begin_password_reset;False;False;False;23819;Tue, 31 Mar 1981 05:00:00 GMT;['no-cache', ' no-store', ' must-revalidate', ' pre-check=0', ' post-check=0'];False;N/A
https://twitter.com/intent/tweet?&text=%40VideoTVCast%20for%20Chromecast%20https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dde.twokit.castbrowser%20%23chromecast%20%23android;True;True;True;33896;Tue, 31 Mar 1981 05:00:00 GMT;['no-cache', ' no-store', ' must-revalidate', ' pre-check=0', ' post-check=0'];False;N/A
http://2kit.de/cast-android/;False;False;False;89959;None;['max-age=43200'];N/A;True
http://www.vimeo.com/;True;True;True;134521;Fri, 13 Apr 2018 22:01:27 GMT;['no-store', ' no-cache', ' must-revalidate', ' post-check=0', ' pre-check=0'];False;N/A
Finished all processing all requests at 2018-04-14 10:02:26
total num urls: 10
% expire urls: 70.0
% reliable expire urls: 0.0
% cachecontrol urls: 50.0
% reliable cachecontrol urls: 100.0
