--------- beginning of /dev/log/main
I/Icing   (26586): Indexing F4FAA6262FE39DDD50BAE6B7AF5CDB8D73BA0DB0 from com.google.android.gms
I/Icing   (26586): Indexing done F4FAA6262FE39DDD50BAE6B7AF5CDB8D73BA0DB0
I/WearableService(  643): Wearable Services stopping
D/AndroidRuntime(31540): 
D/AndroidRuntime(31540): >>>>>> AndroidRuntime START com.android.internal.os.RuntimeInit <<<<<<
D/AndroidRuntime(31540): CheckJNI is OFF
D/dalvikvm(31540): Using executionMode 2
D/dalvikvm(31540): Trying to load lib libjavacore.so 0x0
D/dalvikvm(31540): Added shared lib libjavacore.so 0x0
D/dalvikvm(31540): Trying to load lib libnativehelper.so 0x0
D/dalvikvm(31540): Added shared lib libnativehelper.so 0x0
D/dalvikvm(31540): No JNI_OnLoad found in libnativehelper.so 0x0, skipping init
D/dalvikvm(31540): Note: class Landroid/app/ActivityManagerNative; has 179 unimplemented (abstract) methods
E/memtrack(31540): Couldn't load memtrack module (No such file or directory)
E/android.os.Debug(31540): failed to load memtrack module: -2
D/AndroidRuntime(31540): Calling main entry com.android.commands.monkey.Monkey
--------- beginning of /dev/log/system
W/BroadcastQueue(  346): Skipping deliver [background] BroadcastRecord{4b1b3978 u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{4ae49894 31540 (unknown name)/0/u-1 remote:4abc2cb8}: process crashing
I/ActivityManager(  346): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.windyty.android/com.windyty.StartActivity} from pid 31540
I/ActivityManager(  346): Start proc com.windyty.android for activity com.windyty.android/com.windyty.StartActivity: pid=31550 uid=10092 gids={50092, 3003}
W/NetworkManagementSocketTagger(  346): setKernelCountSet(10092, 1) failed with errno -13
I/dalvikvm(31550): ignoring registerObject request in thread=1
I/dalvikvm(31550): ignoring registerObject request in thread=1
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x1 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x1 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
W/Resources(31550): Converting to string: TypedValue{t=0x10/d=0x0 a=-1}
I/dalvikvm(31550): Could not find method android.preference.DialogPreference.<init>, referenced from method com.windyty.gui.MyDialogPreference.<init>
W/dalvikvm(31550): VFY: unable to resolve direct method 1270: Landroid/preference/DialogPreference;.<init> (Landroid/content/Context;)V
D/dalvikvm(31550): VFY: replacing opcode 0x70 at 0x0000
D/dalvikvm(31550): JIT code cache reset in 0 ms (0 bytes 1/0)
D/dalvikvm(31550): GC_CONCURRENT freed 227K, 9% free 2969K/3256K, paused 5ms+2ms, total 9ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 271K, 14% free 3010K/3464K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 306K, 16% free 3010K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 305K, 16% free 3011K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3011K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3012K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3012K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3013K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3013K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 304K, 16% free 3014K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3014K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3015K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3015K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3015K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3016K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3016K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3017K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3017K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3018K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3018K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3018K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3019K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3019K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3019K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3020K/3568K, paused 3ms, total 4ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3020K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3021K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3021K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3021K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3022K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3022K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 337K, 16% free 3027K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3028K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3028K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3028K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3029K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3029K/3568K, paused 3ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 303K, 16% free 3030K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3030K/3568K, paused 2ms, total 3ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3030K/3568K, paused 2ms, total 2ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3030K/3568K, paused 1ms, total 1ms
D/dalvikvm(31550): GC_FOR_ALLOC freed 302K, 16% free 3030K/3568K, paused 2ms, total 3ms
