category,#apps,min #req, max #req, avg #req, #app >=4 req (%)
ART_AND_DESIGN ,11,0,14,2.272727273,3
AUTO_AND_VEHICLES ,29,0,6,1.068965517,4
BEAUTY ,11,0,1243,120.8181818,6
BOOKS_AND_REFERENCE ,40,0,108,11.575,16
BUSINESS ,55,0,87,5.709090909,17
COMICS ,55,0,319,20.83636364,19
COMMUNICATION ,40,0,96,3.975,8
DATING ,16,0,334,29.9375,6
EDUCATION ,55,0,62,4.981818182,17
ENTERTAINMENT ,28,0,134,12.35714286,11
EVENTS ,8,0,53,14.125,5
FINANCE ,61,0,150,15.96721311,27
FOOD_AND_DRINK ,28,0,188,16.42857143,13
GAMING ,37,0,59,12.59459459,25
HEALTH_AND_FITNESS ,41,0,14,3.43902439,15
HOUSE_AND_HOME ,25,0,149,17.96,8
LIBRARIES_AND_DEMO ,45,0,22,0.6,1
LIFESTYLE ,21,0,82,12.47619048,12
MAPS_AND_NAVIGATION ,54,0,206,8.37037037,8
MEDICAL ,59,0,63,2.796610169,10
MUSIC_AND_AUDIO ,43,0,44,5.465116279,14
NEWS_AND_MAGAZINES ,49,0,802,37.71428571,26
PARENTING ,24,0,28,2.541666667,5
PERSONALIZATION ,31,0,288,29.61290323,11
PHOTOGRAPHY ,43,0,58,7.720930233,14
PRODUCTIVITY ,68,0,119,8.308823529,24
SHOPPING ,46,0,198,21.54347826,22
SOCIAL ,48,0,108,10.39583333,23
SPORTS ,43,0,146,19.41860465,18
TOOLS ,54,0,130,6.444444444,16
TRAVEL_AND_LOCAL ,63,0,208,14.33333333,27
VIDEO_PLAYERS ,47,0,134,5.893617021,8
WEATHER ,30,0,123,14.7,12
