,min redundant %,max redundant %,avg redundant %,"min (10,30,60)","max (10, 30, 60)","avg (10, 30, 60)",min 999 %,max 999 %,avg 999 %
ART_AND_DESIGN ,0,0,0,10,10,10,85.71428571,100,95.23809524
AUTO_AND_VEHICLES ,0,0,0,10,10,10,80,100,97.14285714
BEAUTY ,0,75,31.04384553,10,10,10,50,100,85.84321121
BOOKS_AND_REFERENCE ,0,50,12.77345954,10,10,10,75,100,97.95
BUSINESS ,0,77.77777778,33.38419913,10,10,10,0,100,81.5
COMICS ,0,88.59315589,21.79914906,30,10,10.1459854,12.5,100,86.97925414
COMMUNICATION ,0,69.23076923,15.83303144,10,10,10,42.85714286,100,95.23809524
DATING ,0,83.33333333,10.41666667, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED ,100,100,100
EDUCATION ,0,83.33333333,16.33156698,10,10,10,60,100,96.28662132
ENTERTAINMENT ,0,95,9.003739316,60,10,12.17391304,38.46153846,100,84.7029533
EVENTS ,0,92.85714286,36.0218014,30,10,10.95238095,37.5,100,76.14795918
FINANCE ,0,92.30769231,25.33275209,10,10,10,75,100,98.75
FOOD_AND_DRINK ,0,98.61111111,13.85960448,60,10,26.66666667,0,100,95.64393939
GAMING ,0,82.35294118,20.70164689,10,10,10,0,100,92.10211275
HEALTH_AND_FITNESS ,0,83.33333333,25.32123961,10,10,10,75,100,98.21428571
HOUSE_AND_HOME ,0,40,7.621262965,60,10,23.33333333,33.33333333,100,91.18249095
LIBRARIES_AND_DEMO ,0,0,0, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED ,100,100,100
LIFESTYLE ,0,80.48780488,24.7485,30,10,11.33333333,0,100,81.48053666
MAPS_AND_NAVIGATION ,0,97.25274725,34.51463872,30,10,12,0,100,78.84615385
MEDICAL ,0,92.30769231,9.48005698,10,10,10,80,100,98.88888889
MUSIC_AND_AUDIO ,0,84.61538462,17.23801561,10,10,10,0,100,94.4598338
NEWS_AND_MAGAZINES ,0,98.61111111,25.03338459,10,10,10,76.92307692,100,98.22645781
PARENTING ,0,50,23.21428571, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED ,100,100,100
PERSONALIZATION ,0,50,20.80916039,60,10,15,76.92307692,100,94.04000761
PHOTOGRAPHY ,0,97.43589744,19.84909827,10,10,10,75,100,97.72727273
PRODUCTIVITY ,0,92.68292683,12.80011814,60,10,12,0,100,87.5254114
SHOPPING ,0,97.91666667,30.95162697,60,10,13.5,40,100,95.16565786
SOCIAL ,0,66.66666667,9.342654343,60,10,12.94117647,77.77777778,100,97.91474504
SPORTS ,0,95,26.32633429,60,10,12,0,100,91.08853557
TOOLS ,0,50,13.13198271,10,10,10,50,100,91.38680033
TRAVEL_AND_LOCAL ,0,86.8852459,12.69445339,60,10,15.625,12.5,100,92.99558081
VIDEO_PLAYERS ,0,77.77777778,19.02291012,30,10,11.66666667,0,100,76.47058824
WEATHER ,0,93.75,29.40943522,60,10,15,0,100,85.34771601
